Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag,,,,,
H3,2011,2011,2011,2,0,1,Import,484,Mexico,MEX,0,World,WLD,1,Live animals, animal products,1,No Quantity,,,147967433,0,,,,
H3,2011,2011,2011,2,0,2,Export,484,Mexico,MEX,0,World,WLD,1,Live animals, animal products,1,No Quantity,,,831044605,0,,,,
H3,2011,2011,2011,4,0,1,Import,484,Mexico,MEX,0,World,WLD,101,"Live horses, asses, mules and hinnies.",5,Number of items,143258,,70491304,0,,,,,
H3,2011,2011,2011,4,0,2,Export,484,Mexico,MEX,0,World,WLD,101,"Live horses, asses, mules and hinnies.",5,Number of items,2005,,1768236,0,,,,,
H3,2011,2011,2011,6,1,1,Import,484,Mexico,MEX,0,World,WLD,10110,Live horses/asses/mules/hinnies: pure-bred breeding animals,5,Number of items,26,,58843,0,,,,,
H3,2011,2011,2011,6,1,2,Export,484,Mexico,MEX,0,World,WLD,10110,Live horses/asses/mules/hinnies: pure-bred breeding animals,5,Number of items,41,2069,58380,4,,,,,
H3,2011,2011,2011,6,1,1,Import,484,Mexico,MEX,0,World,WLD,10190,Live horses/asses/mules/hinnies other than pure-bred breeding animals,5,Number of items,143232,4221964,70432461,4,,,,,
H3,2011,2011,2011,6,1,2,Export,484,Mexico,MEX,0,World,WLD,10190,Live horses/asses/mules/hinnies other than pure-bred breeding animals,5,Number of items,1964,,1709856,0,,,,,
H3,2011,2011,2011,4,0,1,Import,484,Mexico,MEX,0,World,WLD,102,Live bovine animals.,5,Number of items,15878,8828548,27090161,4,,,,,
H3,2011,2011,2011,4,0,2,Export,484,Mexico,MEX,0,World,WLD,102,Live bovine animals.,5,Number of items,1898833,296884255,827841793,4,,,,,
H3,2011,2011,2011,6,1,1,Import,484,Mexico,MEX,0,World,WLD,10210,Live bovine animals: pure-bred breeding animals,5,Number of items,6450,2586168,10300346,4,,,,,
H3,2011,2011,2011,6,1,2,Export,484,Mexico,MEX,0,World,WLD,10210,Live bovine animals: pure-bred breeding animals,5,Number of items,375,281418,967485,4,,,,,
