rtCode,AreaCode
533,22
4,2
24,7
660,258
8,3
20,6
530,151
784,225
32,9
51,1
16,5
10,30
260,71
28,8
36,10
40,11
31,52
108,29
56,255
58,15
204,53
854,233
50,16
100,27
48,13
44,12
70,80
112,57
84,23
60,17
68,19
76,21
52,14
96,26
64,18
74,31
72,20
140,37
124,33
166,43
757,211
152,40
156,357
384,107
120,32
180,250
178,46
184,47
170,44
174,45
132,35
188,48
192,49
162,42
136,36
196,50
203,167
276,79
262,72
212,55
208,54
214,56
12,4
218,58
818,59
232,178
732,205
724,203
233,63
231,238
246,67
242,66
238,65
251,68
234,64
583,145
266,74
826,229
268,73
288,81
292,82
324,90
312,87
270,75
624,175
226,61
300,84
308,86
304,85
320,89
254,69
316,88
328,91
344,96
334,92
340,95
191,98
332,93
348,97
360,101
699,100
356,100
86,24
372,104
364,102
368,103
352,99
376,105
381,106
388,109
400,112
392,110
398,108
404,114
417,113
116,115
296,83
659,188
658,188
410,117
414,118
418,120
422,121
430,123
434,124
662,189
144,38
426,122
440,126
442,256
428,119
446,128
504,143
498,146
450,129
462,132
484,138
584,127
807,154
466,133
470,134
104,28
499,273
496,141
580,163
508,144
478,136
500,142
474,135
480,137
454,130
458,131
175,270
516,147
540,153
562,158
574,161
566,159
558,157
570,160
528,150
579,162
524,149
520,148
554,156
512,221
586,165
588,165
591,166
590,166
612,172
604,170
608,171
585,180
598,168
616,173
408,116
620,174
600,169
275,299
258,70
634,179
638,182
642,183
643,185
646,184
682,194
891,186
736,206
686,195
702,200
239,271
654,187
90,25
694,197
222,60
674,192
706,201
666,190
688,272
678,193
740,207
703,199
705,198
752,210
748,209
690,196
760,212
796,224
148,39
768,217
764,216
762,208
772,218
795,213
626,176
776,219
780,220
788,222
792,223
798,227
834,215
800,226
804,230
581,232
858,234
842,231
860,235
336,94
670,191
862,236
92,239
850,240
704,237
548,155
876,243
882,244
887,249
710,202
894,251
716,181
