NoRecords,RecordOrder,Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"13548","1","TM","Detailed trade matrix","138","Mexico","2","Afghanistan","5610","Import Quantity","18","Macaroni","2011","2011","tonnes","0.00","","Official data"
"13548","2","TM","Detailed trade matrix","138","Mexico","2","Afghanistan","5610","Import Quantity","472","Vegetables, preserved nes","2011","2011","tonnes","0.00","","Official data"
"13548","3","TM","Detailed trade matrix","138","Mexico","2","Afghanistan","5622","Import Value","18","Macaroni","2011","2011","1000 US$","0.00","","Official data"
"13548","4","TM","Detailed trade matrix","138","Mexico","2","Afghanistan","5622","Import Value","472","Vegetables, preserved nes","2011","2011","1000 US$","0.00","","Official data"
"13548","5","TM","Detailed trade matrix","138","Mexico","2","Afghanistan","5910","Export Quantity","1293","Crude materials","2011","2011","tonnes","1.00","","Official data"
"13548","6","TM","Detailed trade matrix","138","Mexico","2","Afghanistan","5922","Export Value","1293","Crude materials","2011","2011","1000 US$","2.00","","Official data"
"13548","7","TM","Detailed trade matrix","138","Mexico","3","Albania","5610","Import Quantity","1293","Crude materials","2011","2011","tonnes","4.00","","Official data"
"13548","8","TM","Detailed trade matrix","138","Mexico","3","Albania","5610","Import Quantity","753","Oil, essential nes","2011","2011","tonnes","0.00","","Official data"
"13548","9","TM","Detailed trade matrix","138","Mexico","3","Albania","5610","Import Quantity","723","Spices, nes","2011","2011","tonnes","4.00","","Official data"
"13548","10","TM","Detailed trade matrix","138","Mexico","3","Albania","5610","Import Quantity","168","Sugar confectionery","2011","2011","tonnes","0.00","","Official data"
"13548","11","TM","Detailed trade matrix","138","Mexico","3","Albania","5610","Import Quantity","469","Vegetables, dehydrated","2011","2011","tonnes","0.00","","Official data"
"13548","12","TM","Detailed trade matrix","138","Mexico","3","Albania","5610","Import Quantity","15","Wheat","2011","2011","tonnes","0.00","","Official data"
"13548","13","TM","Detailed trade matrix","138","Mexico","3","Albania","5622","Import Value","1293","Crude materials","2011","2011","1000 US$","26.00","","Official data"
"13548","14","TM","Detailed trade matrix","138","Mexico","3","Albania","5622","Import Value","753","Oil, essential nes","2011","2011","1000 US$","1.00","","Official data"
"13548","15","TM","Detailed trade matrix","138","Mexico","3","Albania","5622","Import Value","723","Spices, nes","2011","2011","1000 US$","51.00","","Official data"
"13548","16","TM","Detailed trade matrix","138","Mexico","3","Albania","5622","Import Value","168","Sugar confectionery","2011","2011","1000 US$","0.00","","Official data"
"13548","17","TM","Detailed trade matrix","138","Mexico","3","Albania","5622","Import Value","469","Vegetables, dehydrated","2011","2011","1000 US$","0.00","","Official data"
"13548","18","TM","Detailed trade matrix","138","Mexico","3","Albania","5622","Import Value","15","Wheat","2011","2011","1000 US$","1.00","","Official data"
"13548","19","TM","Detailed trade matrix","138","Mexico","3","Albania","5910","Export Quantity","51","Beer of barley","2011","2011","tonnes","760.00","","Official data"
"13548","20","TM","Detailed trade matrix","138","Mexico","3","Albania","5910","Export Quantity","168","Sugar confectionery","2011","2011","tonnes","23.00","","Official data"
"13548","21","TM","Detailed trade matrix","138","Mexico","3","Albania","5922","Export Value","51","Beer of barley","2011","2011","1000 US$","730.00","","Official data"
"13548","22","TM","Detailed trade matrix","138","Mexico","3","Albania","5922","Export Value","168","Sugar confectionery","2011","2011","1000 US$","81.00","","Official data"
"13548","23","TM","Detailed trade matrix","138","Mexico","4","Algeria","5610","Import Quantity","1296","Waxes vegetable","2011","2011","tonnes","0.00","","Official data"
"13548","24","TM","Detailed trade matrix","138","Mexico","4","Algeria","5610","Import Quantity","564","Wine","2011","2011","tonnes","2.00","","Official data"
"13548","25","TM","Detailed trade matrix","138","Mexico","4","Algeria","5622","Import Value","1296","Waxes vegetable","2011","2011","1000 US$","0.00","","Official data"
"13548","26","TM","Detailed trade matrix","138","Mexico","4","Algeria","5622","Import Value","564","Wine","2011","2011","1000 US$","7.00","","Official data"
"13548","27","TM","Detailed trade matrix","138","Mexico","4","Algeria","5910","Export Quantity","191","Chick peas","2011","2011","tonnes","5606.00","","Official data"
"13548","28","TM","Detailed trade matrix","138","Mexico","4","Algeria","5910","Export Quantity","666","Chocolate products nes","2011","2011","tonnes","0.00","","Official data"
"13548","29","TM","Detailed trade matrix","138","Mexico","4","Algeria","5910","Export Quantity","1232","Food prep nes","2011","2011","tonnes","419.00","","Official data"
"13548","30","TM","Detailed trade matrix","138","Mexico","4","Algeria","5910","Export Quantity","687","Pepper (piper spp.)","2011","2011","tonnes","50.00","","Official data"
"13548","31","TM","Detailed trade matrix","138","Mexico","4","Algeria","5910","Export Quantity","168","Sugar confectionery","2011","2011","tonnes","53.00","","Official data"
"13548","32","TM","Detailed trade matrix","138","Mexico","4","Algeria","5910","Export Quantity","15","Wheat","2011","2011","tonnes","483704.00","","Official data"
"13548","33","TM","Detailed trade matrix","138","Mexico","4","Algeria","5922","Export Value","191","Chick peas","2011","2011","1000 US$","7767.00","","Official data"
"13548","34","TM","Detailed trade matrix","138","Mexico","4","Algeria","5922","Export Value","666","Chocolate products nes","2011","2011","1000 US$","0.00","","Official data"
"13548","35","TM","Detailed trade matrix","138","Mexico","4","Algeria","5922","Export Value","1232","Food prep nes","2011","2011","1000 US$","1196.00","","Official data"
"13548","36","TM","Detailed trade matrix","138","Mexico","4","Algeria","5922","Export Value","687","Pepper (piper spp.)","2011","2011","1000 US$","181.00","","Official data"
"13548","37","TM","Detailed trade matrix","138","Mexico","4","Algeria","5922","Export Value","168","Sugar confectionery","2011","2011","1000 US$","151.00","","Official data"
