"ItemCode","AreaCode","Flow","Qty","metaData"
"x010110",84,2,93,""
"x010110",124,2,0,""
"x010110",188,2,0,""
"x010110",218,2,0,""
"x010110",218,2,489,""
"x010110",276,2,0,""
"x010110",320,2,0,""
"x010110",320,2,1380,""
"x010110",372,2,0,""
"x010110",528,2,0,""
"x010110",591,2,0,""
"x010110",842,2,0,""
"x010110",842,2,107,""
NA,NA,2,NA,NA
"x010190",124,2,0,""
"x010190",528,2,0,""
"x010190",757,2,0,""
"x010190",842,2,0,""
"x010210",84,2,28516,""
"x010210",188,2,9867,""
"x010210",214,2,195934,""
"x010210",222,2,4919,""
"x010210",320,2,0,""
"x010210",340,2,5818,""
"x010210",558,2,36364,""
"x010210",842,2,0,""
"x010290",84,2,0,""
"x010290",320,2,0,""
"x010290",792,2,3379606,""
"x010290",842,2,293223231,""
"x010310",320,2,0,""
"x010392",842,2,0,""
"x010410",84,2,0,""
"x010410",84,2,1404,""
"x010410",218,2,0,""
"x010410",218,2,21978,""
"x010410",320,2,0,""
"x010410",320,2,1431,""
"x010410",591,2,0,""
"x010410",591,2,10869,""
"x010512",842,2,0,""
"x010611",340,2,0,""
"x010619",68,2,0,""
"x010619",124,2,0,""
"x010619",170,2,0,""
"x010619",231,2,0,""
"x010619",392,2,0,""
"x010619",842,2,0,""
"x010620",156,2,87,""
"x010620",276,2,13,""
"x010620",392,2,0,""
"x010620",724,2,7,""
"x010620",842,2,40,""
"x010639",192,2,1191,""
"x010639",842,2,1,""
"x010690",144,2,0,""
"x010690",231,2,0,""
"x010690",490,2,0,""
"x010690",528,2,0,""
"x010690",704,2,0,""
"x020110",842,2,0,""
"x020120",214,2,0,""
"x020120",392,2,27810,""
"x020120",410,2,15530,""
"x020120",591,2,0,""
"x020120",842,2,25395156,""
"x020130",392,2,1295996,""
"x020130",410,2,42995,""
"x020130",643,2,172,""
"x020130",842,2,29773953,""
"x020210",392,2,28846,""
"x020220",24,2,400290,""
"x020220",192,2,16,""
"x020220",214,2,0,""
"x020220",344,2,993,""
"x020220",392,2,134984,""
"x020220",408,2,2018,""
"x020220",410,2,886889,""
"x020220",558,2,78,""
"x020220",643,2,149189,""
"x020220",842,2,775171,""
"x020230",24,2,1575615,""
"x020230",156,2,45406,""
"x020230",192,2,44,""
"x020230",340,2,0,""
"x020230",344,2,46014,""
"x020230",392,2,15274208,""
"x020230",408,2,7587,""
"x020230",410,2,2859288,""
"x020230",558,2,107,""
"x020230",591,2,21333,""
"x020230",643,2,23865358,""
"x020230",704,2,97995,""
"x020230",842,2,1740197,""
"x020311",842,2,0,""
"x020312",392,2,0,""
"x020312",842,2,5481,""
"x020319",392,2,6784486,""
"x020319",410,2,1621000,""
"x020319",842,2,2874611,""
"x020321",842,2,0,""
"x020322",392,2,478533,""
"x020322",410,2,74370,""
"x020322",842,2,66772,""
"x020329",344,2,24277,""
"x020329",392,2,39559185,""
"x020329",410,2,8798815,""
"x020329",462,2,0,""
"x020329",704,2,5963,""
"x020329",842,2,4170365,""
"x020410",842,2,0,""
"x020423",842,2,0,""
"x020430",842,2,7459,""
"x020442",842,2,0,""
"x020450",410,2,8,""
"x020450",842,2,58701,""
"x020500",56,2,3416347,""
"x020500",156,2,23808,""
"x020500",203,2,0,""
"x020500",233,2,0,""
"x020500",251,2,1241481,""
"x020500",392,2,413602,""
"x020500",398,2,0,""
"x020500",442,2,0,""
"x020500",528,2,3573443,""
"x020500",643,2,4102119,""
"x020500",704,2,92794,""
"x020500",705,2,0,""
"x020500",748,2,246676,""
"x020500",752,2,5586,""
"x020500",757,2,492742,""
"x020500",826,2,354995,""
"x020500",842,2,62070,""
"x020610",392,2,64114,""
"x020610",410,2,0,""
"x020610",842,2,216375,""
"x020621",392,2,1161609,""
"x020621",842,2,750,""
"x020622",392,2,476515,""
"x020622",643,2,1286695,""
"x020629",24,2,150147,""
"x020629",36,2,25550,""
"x020629",344,2,12483,""
"x020629",392,2,1446881,""
"x020629",408,2,7956,""
"x020629",410,2,577553,""
"x020629",643,2,722031,""
"x020629",842,2,1349913,""
"x020630",410,2,0,""
"x020630",842,2,50198,""
"x020641",643,2,38002,""
"x020649",392,2,267952,""
"x020649",410,2,15494,""
"x020649",704,2,15909,""
"x020649",842,2,546430,""
"x020680",251,2,0,""
"x020680",842,2,0,""
"x020690",392,2,511352,""
"x020690",643,2,264497,""
"x020690",842,2,1897,""
"x020712",24,2,74700,""
"x020712",178,2,174300,""
"x020712",204,2,146010,""
"x020712",288,2,0,""
"x020712",344,2,25005,""
"x020712",768,2,0,""
"x020713",344,2,25000,""
"x020713",704,2,31,""
